,racimo_id,avg_vol,avg_vol_anynan,nan_counts,no_nan_counts,val_1,val_2,val_dist
0,VID_20220217_102300,,,0,0,1.8993,1.92027,2
1,VID_20220217_105340,,,0,0,2.20906,2.08666,2
2,VID_20220217_112247,,,0,0,1.90914,1.99191,2
3,VID_20220217_101324,,,0,0,1.84767,1.88264,2
4,VID_20220217_111708,,,0,0,0.0355373,0.0358453,2
5,VID_20220217_103114,,,0,0,0.905134,1.01484,2
6,VID_20220217_103846,,,0,0,2.16149,2.07557,2
7,VID_20220217_111441,,,0,0,1.92056,1.95657,2
8,VID_20220217_104436,,,0,0,1.93509,1.98749,2
9,VID_20220217_104747,,,0,0,1.59768,1.57892,2
10,VID_20220217_112339,,,0,0,1.99749,1.95011,2
11,VID_20220217_103355,,,0,0,1.92239,1.94496,2
12,VID_20220217_112220,,,0,0,1.93932,61.124,2
13,VID_20220217_103216,,,0,0,0.0519674,0.0381984,2
14,VID_20220217_103612,,,0,0,1.97131,2.01674,2
15,VID_20220217_111117,,,0,0,1.89822,1.97049,2
16,VID_20220217_105729,,,0,0,1.97169,1.96011,2
17,VID_20220217_104058,,,0,0,1.91287,,2
18,VID_20220217_103426,,,0,0,1.929,1.97275,2
19,VID_20220217_104011,,,0,0,2.15336,2.07619,2
20,VID_20220217_111254,,,0,0,0.924254,1.08556,2
21,VID_20220217_110950,,,0,0,1.96838,1.99979,2
22,VID_20220217_105931,,,0,0,1.99027,1.99786,2
23,VID_20220217_105657,,,0,0,1.92073,1.97683,2
24,VID_20220217_111411,,,0,0,1.89447,1.94139,2
25,VID_20220217_102410,,,0,0,,,2
26,VID_20220217_103003,,,0,0,1.94148,1.98803,2
27,VID_20220217_110920,,,0,0,2.11382,2.04922,2
28,VID_20220217_101834,,,0,0,1.92544,1.94069,2
29,VID_20220217_111920,,,0,0,1.97463,2.00408,2
30,VID_20220217_101543,,,0,0,1.9412,1.97057,2
31,VID_20220217_111321,,,0,0,2.00554,2.0163,2
32,VID_20220217_101731,,,0,0,1.95299,1.96318,2
33,VID_20220217_101111,,,0,0,0.0472618,0.0474233,2
34,VID_20220217_102701,,,0,0,1.96618,2.02713,2
35,VID_20220217_105017,,,0,0,1.91776,1.94256,2
36,VID_20220217_102806,,,0,0,1.84487,1.9119,2
37,VID_20220217_104334,,,0,0,1.92086,1.94045,2
38,VID_20220217_104715,,,0,0,1.93029,1.95094,2
39,VID_20220217_105846,,,0,0,1.94693,1.99403,2
40,VID_20220217_103648,,,0,0,1.05831,1.61693,2
41,VID_20220217_104646,,,0,0,1.89005,1.95357,2
42,VID_20220217_104609,,,0,0,1.94095,1.96247,2
43,VID_20220217_102613,,,0,0,1.82894,1.89029,2
44,VID_20220217_104507,,,0,0,1.91655,1.95712,2
45,VID_20220217_104205,,,0,0,1.94936,1.96433,2
46,VID_20220217_103544,,,0,0,1.95017,1.96277,2
47,VID_20220217_103801,,,0,0,,,2
48,VID_20220217_111049,,,0,0,1.98363,1.97632,2
49,VID_20220217_104408,,,0,0,1.9524,1.96459,2
50,VID_20220217_102436,,,0,0,1.91183,1.94605,2
51,VID_20220217_102002,,,0,0,1.92571,1.93162,2
52,VID_20220217_105252,,,0,0,1.89541,1.92829,2
53,VID_20220217_103823,,,0,0,1.92395,1.96228,2
54,VID_20220217_111957,,,0,0,0.0516939,0.0535276,2
55,VID_20220217_111205,,,0,0,1.09814,1.49436,2
56,VID_20220217_103503,,,0,0,1.8542,1.87575,2
57,VID_20220217_105956,,,0,0,1.9532,1.95965,2
58,VID_20220217_101420,,,0,0,0.0494939,0.050353,2
59,VID_20220217_111606,,,0,0,1.91052,1.96878,2
60,VID_20220217_112402,,,0,0,1.91764,2.02629,2
61,VID_20220217_102904,,,0,0,1.93778,1.96372,2
62,VID_20220217_105816,,,0,0,2.22768,2.10274,2
63,VID_20220217_102220,,,0,0,1.93053,1.94937,2
64,VID_20220217_105213,,,0,0,1.96185,1.93288,2
65,VID_20220217_103042,,,0,0,1.85897,1.91783,2
66,VID_20220217_104904,,,0,0,1.96256,2.00744,2
67,VID_20220217_112149,,,0,0,1.73529,1.91596,2
68,VID_20220217_111228,,,0,0,0.675103,1.06158,2
69,VID_20220217_105612,,,0,0,1.94535,1.9631,2
70,VID_20220217_111016,,,0,0,1.88369,1.9136,2
71,VID_20220217_103942,,,0,0,1.91462,1.91169,2
72,VID_20220217_104307,,,0,0,1.87776,1.91505,2
73,VID_20220217_105141,,,0,0,1.90981,1.98088,2
74,VID_20220217_104826,,,0,0,1.92731,1.97935,2
75,VID_20220217_105442,,,0,0,1.92968,1.94908,2
76,VID_20220217_105114,,,0,0,1.95687,1.96621,2
77,VID_20220217_112047,,,0,0,1.9341,1.95909,2
78,VID_20220217_101459,,,0,0,1.96894,1.96347,2
79,VID_20220217_101621,,,0,0,1.93144,1.93862,2
80,VID_20220217_104034,,,0,0,1.96031,1.99228,2
81,VID_20220217_112117,,,0,0,1.97763,1.9953,2
82,VID_20220217_105415,,,0,0,1.93132,1.97693,2
83,VID_20220217_101930,,,0,0,1.95262,1.97644,2
84,VID_20220217_111735,,,0,0,2.13057,2.09676,2
85,VID_20220217_112310,,,0,0,1.96016,2.01473,2
86,VID_20220217_111803,,,0,0,1.34532,0.0451275,2
87,VID_20220217_111542,,,0,0,1.93344,1.96018,2
88,VID_20220217_111836,,,0,0,1.892,56.1268,2
89,VID_20220217_102337,,,0,0,1.9873,2.0073,2
90,VID_20220217_102733,,,0,0,1.94815,1.99317,2
91,VID_20220217_102525,,,0,0,1.83819,1.90976,2
92,VID_20220217_111639,,,0,0,1.16639,1.28371,2
93,VID_20220217_111509,,,0,0,1.99915,2.01693,2
94,VID_20220217_104935,,,0,0,1.82977,1.8597,2
95,VID_20220217_104242,,,0,0,1.93128,1.96334,2
